launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
17093,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_rec_rbs_ea.json,PASSED,0.00,2022-04-09 20:03:00,77.35416667,32_wp_s1-21_rec_rbs_ea.json,317,1
17103,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_rec_rbs_ga.json,TLE,0.00,2022-04-09 20:08:20,89.10416667,32_wp_s1-21_rec_rbs_ga.json,319,2
17073,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_sing_cart_ea.json,TLE,0.00,2022-04-09 19:53:28,89.10416667,32_wp_s1-21_sing_cart_ea.json,374,3
17083,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_sing_cart_ga.json,PASSED,0.00,2022-04-09 19:57:43,3.916666667,32_wp_s1-21_sing_cart_ga.json,255,1
17053,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_sing_rbs_ea.json,TLE,0.00,2022-04-09 19:41:01,89.10416667,32_wp_s1-21_sing_rbs_ea.json,385,2
17063,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_sing_rbs_ga.json,TLE,0.00,2022-04-09 19:47:14,89.10416667,32_wp_s1-21_sing_rbs_ga.json,373,2
16709,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_rec_cart_ea.json,PASSED,0.00,2022-04-09 13:48:46,34.27083333,painless,252.31,0
16719,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_rec_cart_ga.json,PASSED,0.00,2022-04-09 14:02:15,69.52083333,,,
16689,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_rec_rbs_ea.json,PASSED,0.00,2022-04-09 13:27:13,18.60416667,,,
16699,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_rec_rbs_ga.json,PASSED,0.00,2022-04-09 13:37:57,14.6875,,,
