Duration: 300
step,size,rho,fit
645,12,0.992,13.6
646,12,0.992,13.6
647,12,0.992,13.6
648,12,0.992,13.6
649,12,0.992,13.6
650,12,0.992,13.6
651,12,0.992,13.6
652,12,0.992,13.6
653,12,0.992,13.6
654,12,0.992,13.6
655,12,0.992,13.6
656,12,0.992,13.6
657,12,0.992,13.6
658,12,0.992,13.6
659,12,0.992,13.6
660,12,0.992,13.6
661,12,0.992,13.6
662,12,0.992,13.6
663,12,0.992,13.6
664,12,0.992,13.6
665,12,0.992,13.6
666,12,0.992,13.6
667,12,0.992,13.6
668,12,0.992,13.6
669,12,0.992,13.6
670,12,0.992,13.6
671,12,0.992,13.6
672,12,0.992,13.6
673,12,0.992,13.6
674,12,0.992,13.6
675,12,0.992,13.6
676,12,0.992,13.6
677,12,0.992,13.6
678,12,0.992,13.6
679,12,0.992,13.6
680,12,0.992,13.6
681,12,0.992,13.6
682,12,0.992,13.6
683,12,0.992,13.6
684,12,0.992,13.6
685,12,0.992,13.6
686,12,0.992,13.6
687,12,0.992,13.6
688,12,0.992,13.6
689,12,0.992,13.6
690,12,0.992,13.6
691,12,0.992,13.6
692,12,0.992,13.6
693,12,0.992,13.6
694,12,0.992,13.6
695,12,0.992,13.6
696,12,0.992,13.6
697,12,0.992,13.6
698,12,0.992,13.6
699,12,0.992,13.6
700,12,0.992,13.6
701,12,0.992,13.6
702,12,0.992,13.6
703,12,0.992,13.6
704,12,0.992,13.6
705,12,0.992,13.6
706,12,0.992,13.6
707,12,0.992,13.6
708,12,0.992,13.6
709,12,0.992,13.6
710,12,0.992,13.6
711,12,0.992,13.6
712,12,0.992,13.6
713,12,0.992,13.6
714,12,0.992,13.6
715,12,0.992,13.6
716,12,0.992,13.6
717,12,0.992,13.6
718,12,0.992,13.6
719,12,0.992,13.6
720,12,0.992,13.6
721,12,0.992,13.6
722,12,0.992,13.6
723,12,0.992,13.6
724,12,0.992,13.6
725,12,0.992,13.6
726,12,0.992,13.6
727,12,0.992,13.6
728,12,0.992,13.6
729,12,0.992,13.6
730,12,0.992,13.6
731,12,0.992,13.6
732,12,0.992,13.6
733,12,0.992,13.6
734,12,0.992,13.6
735,12,0.992,13.6
736,12,0.992,13.6
737,12,0.992,13.6
738,12,0.992,13.6
739,12,0.992,13.6
740,12,0.992,13.6
741,12,0.992,13.6
742,12,0.992,13.6
743,12,0.992,13.6
744,12,0.992,13.6
745,12,0.992,13.6
746,12,0.992,13.6
747,12,0.992,13.6
748,12,0.992,13.6
749,12,0.992,13.6
750,12,0.992,13.6
751,12,0.992,13.6
752,12,0.992,13.6
753,12,0.992,13.6
754,12,0.992,13.6
755,12,0.992,13.6
756,12,0.992,13.6
757,12,0.992,13.6
758,12,0.992,13.6
759,12,0.992,13.6
760,12,0.992,13.6
761,12,0.992,13.6
762,12,0.992,13.6
763,12,0.992,13.6
764,12,0.992,13.6
765,12,0.992,13.6
766,12,0.992,13.6
767,12,0.993,13.5
768,12,0.993,13.5
769,12,0.993,13.5
770,12,0.993,13.5
771,12,0.993,13.5
772,12,0.993,13.5
773,12,0.993,13.5
774,12,0.993,13.5
775,12,0.993,13.5
776,12,0.993,13.5
777,12,0.993,13.5
778,12,0.993,13.5
779,12,0.993,13.5
780,12,0.993,13.5
781,12,0.993,13.5
782,12,0.993,13.5
783,12,0.993,13.5
784,12,0.993,13.5
785,12,0.993,13.5
786,12,0.993,13.5
787,12,0.993,13.5
788,12,0.993,13.5
789,12,0.993,13.5
790,12,0.993,13.5
791,12,0.993,13.5
792,12,0.993,13.5
793,12,0.993,13.5
794,12,0.993,13.5
795,12,0.993,13.5
796,12,0.993,13.5
797,12,0.993,13.5
798,12,0.993,13.5
799,12,0.993,13.5
800,12,0.993,13.5
801,12,0.993,13.5
802,12,0.993,13.5
803,12,0.993,13.5
804,12,0.993,13.5
805,12,0.993,13.5
806,12,0.993,13.5
807,12,0.993,13.5
808,12,0.993,13.5
809,12,0.993,13.5
810,12,0.993,13.5
811,12,0.993,13.5
812,12,0.993,13.5
813,12,0.993,13.5
814,12,0.993,13.5
815,12,0.993,13.5
816,12,0.993,13.5
817,12,0.993,13.5
818,12,0.993,13.5
819,12,0.993,13.5
820,12,0.993,13.5
821,12,0.993,13.5
822,12,0.993,13.5
823,12,0.993,13.5
824,12,0.993,13.5
825,12,0.993,13.5
826,12,0.993,13.5
827,12,0.993,13.5
828,12,0.993,13.5
829,12,0.993,13.5
830,12,0.993,13.5
831,12,0.993,13.5
832,12,0.993,13.5
833,12,0.993,13.5
834,12,0.993,13.5
835,12,0.993,13.5
836,12,0.993,13.5
837,12,0.993,13.5
838,12,0.993,13.5
839,12,0.993,13.5
840,12,0.993,13.5
841,12,0.993,13.5
842,12,0.993,13.5
843,12,0.993,13.5
844,12,0.993,13.5
845,12,0.993,13.5
846,12,0.993,13.5
847,12,0.993,13.5
848,12,0.993,13.5
849,12,0.993,13.5
850,12,0.993,13.5
851,12,0.993,13.5
852,12,0.993,13.5
853,12,0.993,13.5
854,12,0.993,13.5
855,12,0.993,13.5
856,12,0.993,13.5
857,12,0.993,13.5
858,12,0.993,13.5
859,12,0.993,13.5
860,12,0.993,13.5
861,12,0.993,13.5
862,12,0.993,13.5
863,12,0.993,13.5
864,12,0.993,13.5
865,12,0.993,13.5
866,12,0.993,13.5
867,12,0.993,13.5
868,12,0.993,13.5
869,12,0.993,13.5
870,12,0.993,13.5
871,12,0.993,13.5
872,12,0.993,13.5
873,12,0.993,13.5
874,12,0.993,13.5
875,12,0.993,13.5
876,12,0.993,13.5
877,12,0.993,13.5
878,12,0.993,13.5
879,12,0.993,13.5
880,12,0.993,13.5
881,12,0.993,13.5
882,12,0.993,13.5
883,12,0.993,13.5
884,12,0.993,13.5
885,12,0.993,13.5
886,12,0.993,13.5
887,12,0.993,13.5
888,12,0.993,13.5
889,12,0.993,13.5
890,12,0.993,13.5
891,12,0.993,13.5
892,12,0.993,13.5
893,12,0.993,13.5
894,12,0.993,13.5
895,12,0.993,13.5
896,12,0.993,13.5
897,12,0.993,13.5
898,12,0.993,13.5
899,12,0.993,13.5
900,12,0.993,13.5
901,12,0.993,13.5
902,12,0.993,13.5
903,12,0.993,13.5
904,12,0.993,13.5
905,12,0.993,13.5
906,12,0.993,13.5
907,12,0.993,13.5
908,12,0.993,13.5
909,12,0.993,13.5
910,12,0.993,13.5
911,12,0.993,13.5
912,12,0.993,13.5
913,12,0.993,13.5
914,12,0.993,13.5
915,12,0.993,13.5
916,12,0.993,13.5
917,12,0.993,13.5
918,12,0.993,13.5
919,12,0.993,13.5
920,12,0.993,13.5
921,12,0.993,13.5
922,12,0.993,13.5
923,12,0.993,13.5
924,12,0.993,13.5
925,12,0.993,13.5
926,12,0.993,13.5
927,12,0.993,13.5
928,12,0.993,13.5
929,12,0.993,13.5
930,12,0.993,13.5
931,12,0.993,13.5
932,12,0.993,13.5
933,12,0.993,13.5
934,12,0.993,13.5
935,12,0.993,13.5
936,12,0.993,13.5
937,12,0.993,13.5
938,12,0.993,13.5
939,12,0.993,13.5
940,12,0.993,13.5
941,12,0.993,13.5
942,12,0.993,13.5
943,12,0.993,13.5
944,12,0.993,13.5
945,12,0.993,13.5
946,12,0.993,13.5
947,12,0.993,13.5
948,12,0.993,13.5
949,12,0.993,13.5
950,12,0.993,13.5
951,12,0.993,13.5
952,12,0.993,13.5
953,12,0.993,13.5
954,12,0.993,13.5
955,12,0.993,13.5
956,12,0.993,13.5
957,12,0.993,13.5
958,12,0.993,13.5
959,12,0.993,13.5
960,12,0.993,13.5
961,12,0.993,13.5
962,12,0.993,13.5
963,12,0.993,13.5
964,12,0.993,13.5
965,12,0.993,13.5
966,12,0.993,13.5
967,12,0.993,13.5
968,12,0.993,13.5
969,12,0.993,13.5
970,12,0.993,13.5
971,12,0.993,13.5
972,12,0.993,13.5
973,12,0.993,13.5
974,12,0.993,13.5
975,12,0.993,13.5
976,12,0.993,13.5
977,12,0.993,13.5
978,12,0.993,13.5
979,12,0.993,13.5
980,12,0.993,13.5
981,12,0.993,13.5
982,12,0.993,13.5
983,12,0.993,13.5
984,12,0.993,13.5
985,12,0.993,13.5
986,12,0.993,13.5
987,12,0.993,13.5
988,12,0.993,13.5
989,12,0.993,13.5
990,12,0.993,13.5
991,12,0.993,13.5
992,12,0.993,13.5
993,12,0.993,13.5
994,12,0.993,13.5
995,12,0.993,13.5
996,12,0.993,13.5
997,12,0.993,13.5
998,12,0.993,13.5
999,12,0.993,13.5
1000,12,0.993,13.5
1001,12,0.993,13.5
1002,12,0.993,13.5
1003,12,0.993,13.5
1004,12,0.993,13.5
1005,12,0.993,13.5
1006,12,0.993,13.5
1007,12,0.993,13.5
1008,12,0.993,13.5
1009,12,0.993,13.5
1010,12,0.993,13.5
1011,12,0.993,13.5
1012,12,0.993,13.5
1013,12,0.993,13.5
1014,12,0.993,13.5
1015,12,0.993,13.5
1016,12,0.993,13.5
1017,12,0.993,13.5
1018,12,0.993,13.5
1019,12,0.993,13.5
1020,12,0.993,13.5
1021,12,0.993,13.5
1022,12,0.993,13.5
1023,12,0.993,13.5
1024,12,0.993,13.5
1025,12,0.993,13.5
1026,12,0.993,13.5
1027,12,0.993,13.5
1028,12,0.993,13.5
1029,12,0.993,13.5
1030,12,0.993,13.5
1031,12,0.993,13.5
1032,12,0.993,13.5
1033,12,0.993,13.5
1034,12,0.993,13.5
1035,12,0.993,13.5
1036,12,0.993,13.5
1037,12,0.993,13.5
1038,12,0.993,13.5
1039,12,0.993,13.5
1040,12,0.993,13.5
1041,12,0.993,13.5
1042,12,0.993,13.5
1043,12,0.993,13.5
1044,12,0.993,13.5
1045,12,0.993,13.5
1046,12,0.993,13.5
1047,12,0.993,13.5
