Duration: 300
step,size,rho,fit
749,13,0.982,14.7
750,13,0.982,14.7
751,13,0.982,14.7
752,13,0.982,14.7
753,13,0.982,14.7
754,13,0.982,14.7
755,13,0.982,14.7
756,13,0.982,14.7
757,13,0.982,14.7
758,13,0.982,14.7
759,13,0.982,14.7
760,13,0.982,14.7
761,13,0.982,14.7
762,13,0.982,14.7
763,13,0.982,14.7
764,13,0.982,14.7
765,13,0.982,14.7
766,13,0.982,14.7
767,13,0.982,14.7
768,13,0.982,14.7
769,13,0.982,14.7
770,13,0.982,14.7
771,13,0.982,14.7
772,13,0.982,14.7
773,13,0.982,14.7
774,13,0.982,14.7
775,13,0.982,14.7
776,13,0.982,14.7
777,13,0.982,14.7
778,13,0.982,14.7
779,13,0.982,14.7
780,13,0.982,14.7
781,13,0.982,14.7
782,13,0.982,14.7
783,13,0.982,14.7
784,13,0.982,14.7
785,13,0.982,14.7
786,13,0.982,14.7
787,13,0.982,14.7
788,13,0.982,14.7
789,13,0.982,14.7
790,13,0.982,14.7
791,13,0.982,14.7
792,13,0.982,14.7
793,13,0.982,14.7
794,13,0.982,14.7
795,13,0.982,14.7
796,13,0.982,14.7
797,13,0.982,14.7
798,13,0.982,14.7
799,13,0.982,14.7
800,13,0.982,14.7
801,13,0.982,14.7
802,13,0.982,14.7
803,13,0.982,14.7
804,13,0.982,14.7
805,13,0.982,14.7
806,13,0.982,14.7
807,13,0.982,14.7
808,13,0.982,14.7
809,13,0.982,14.7
810,13,0.982,14.7
811,13,0.982,14.7
812,13,0.982,14.7
813,13,0.982,14.7
814,13,0.982,14.7
815,13,0.982,14.7
816,13,0.982,14.7
817,13,0.982,14.7
818,13,0.982,14.7
819,13,0.982,14.7
820,13,0.982,14.7
821,13,0.982,14.7
822,13,0.982,14.7
823,13,0.982,14.7
824,13,0.982,14.7
825,13,0.982,14.7
826,13,0.982,14.7
827,13,0.982,14.7
828,13,0.982,14.7
829,13,0.982,14.7
830,13,0.982,14.7
831,13,0.982,14.7
832,13,0.982,14.7
833,13,0.982,14.7
834,13,0.982,14.7
835,13,0.982,14.7
836,13,0.982,14.7
837,13,0.982,14.7
838,13,0.982,14.7
839,13,0.982,14.7
840,13,0.982,14.7
841,13,0.982,14.7
842,13,0.982,14.7
843,13,0.982,14.7
844,13,0.982,14.7
845,13,0.982,14.7
846,13,0.982,14.7
847,13,0.982,14.7
848,13,0.982,14.7
849,13,0.982,14.7
850,13,0.982,14.7
851,13,0.982,14.7
852,13,0.982,14.7
853,13,0.982,14.7
854,13,0.982,14.7
855,13,0.982,14.7
856,13,0.982,14.7
857,13,0.982,14.7
858,13,0.982,14.7
859,13,0.982,14.7
860,13,0.982,14.7
861,13,0.982,14.7
862,13,0.982,14.7
863,13,0.982,14.7
864,13,0.982,14.7
865,13,0.982,14.7
866,13,0.982,14.7
867,13,0.982,14.7
868,13,0.982,14.7
869,13,0.982,14.7
870,13,0.982,14.7
871,13,0.982,14.7
872,13,0.982,14.7
873,13,0.982,14.7
874,13,0.982,14.7
875,13,0.982,14.7
876,13,0.982,14.7
877,13,0.982,14.7
878,13,0.982,14.7
879,13,0.982,14.7
880,13,0.982,14.7
881,13,0.982,14.7
882,13,0.982,14.7
883,13,0.982,14.7
884,13,0.982,14.7
885,13,0.982,14.7
886,13,0.982,14.7
887,13,0.982,14.7
888,13,0.982,14.7
889,13,0.982,14.7
890,13,0.982,14.7
891,13,0.982,14.7
892,13,0.982,14.7
893,13,0.982,14.7
894,13,0.982,14.7
895,13,0.982,14.7
896,13,0.982,14.7
897,13,0.982,14.7
898,13,0.982,14.7
899,13,0.982,14.7
900,13,0.982,14.7
901,13,0.982,14.7
902,13,0.982,14.7
903,13,0.982,14.7
904,13,0.982,14.7
905,13,0.982,14.7
906,13,0.982,14.7
907,13,0.982,14.7
908,13,0.982,14.7
909,13,0.982,14.7
910,13,0.982,14.7
911,13,0.982,14.7
912,13,0.982,14.7
913,13,0.982,14.7
914,13,0.982,14.7
915,13,0.982,14.7
916,13,0.982,14.7
917,13,0.982,14.7
918,13,0.982,14.7
919,13,0.982,14.7
920,13,0.982,14.7
921,13,0.982,14.7
922,13,0.982,14.7
923,13,0.982,14.7
924,13,0.982,14.7
925,13,0.982,14.7
926,13,0.982,14.7
927,13,0.982,14.7
928,13,0.982,14.7
929,13,0.982,14.7
930,13,0.982,14.7
931,13,0.982,14.7
932,13,0.982,14.7
933,13,0.982,14.7
934,13,0.982,14.7
935,13,0.982,14.7
936,13,0.982,14.7
