Duration: 300
step,size,rho,fit
812,12,0.996,13
813,12,0.996,13
814,12,0.996,13
815,12,0.996,13
816,12,0.996,13
817,12,0.996,13
818,12,0.996,13
819,12,0.996,13
820,12,0.996,13
821,12,0.996,13
822,12,0.996,13
823,12,0.996,13
824,12,0.996,13
825,12,0.996,13
826,12,0.996,13
827,12,0.996,13
828,12,0.996,13
829,12,0.996,13
830,12,0.996,13
831,12,0.996,13
832,12,0.996,13
833,12,0.996,13
834,12,0.996,13
835,12,0.996,13
836,12,0.996,13
837,12,0.996,13
838,12,0.996,13
839,12,0.996,13
840,12,0.996,13
841,12,0.996,13
842,12,0.996,13
843,12,0.996,13
844,12,0.996,13
845,12,0.996,13
846,12,0.996,13
847,12,0.996,13
848,12,0.996,13
849,12,0.996,13
850,12,0.996,13
851,12,0.996,13
852,12,0.996,13
853,12,0.996,13
854,12,0.996,13
855,12,0.996,13
856,12,0.996,13
857,12,0.996,13
858,12,0.996,13
859,12,0.996,13
860,12,0.996,13
861,12,0.996,13
862,12,0.996,13
863,12,0.996,13
864,12,0.996,13
865,12,0.996,13
866,12,0.996,13
867,12,0.996,13
868,12,0.996,13
869,12,0.996,13
870,12,0.996,13
871,12,0.996,13
872,12,0.996,13
873,12,0.996,13
874,12,0.996,13
875,12,0.996,13
876,12,0.996,13
877,12,0.996,13
878,12,0.996,13
879,12,0.996,13
880,12,0.996,13
881,12,0.996,13
882,12,0.996,13
883,12,0.996,13
884,12,0.996,13
885,12,0.996,13
886,12,0.996,13
887,12,0.996,13
888,12,0.996,13
889,12,0.996,13
890,12,0.996,13
891,12,0.996,13
892,12,0.996,13
893,12,0.996,13
894,12,0.996,13
895,12,0.996,13
896,12,0.996,13
897,12,0.996,13
898,12,0.996,13
899,12,0.996,13
900,12,0.996,13
901,12,0.996,13
902,12,0.996,13
903,12,0.996,13
904,12,0.996,13
905,12,0.996,13
906,12,0.996,13
907,12,0.996,13
908,12,0.996,13
909,12,0.996,13
910,12,0.996,13
911,12,0.996,13
912,12,0.996,13
913,12,0.996,13
914,12,0.996,13
915,12,0.996,13
916,12,0.996,13
917,12,0.996,13
918,12,0.996,13
919,12,0.996,13
920,12,0.996,13
921,12,0.996,13
922,12,0.996,13
923,12,0.996,13
924,12,0.996,13
925,12,0.996,13
926,12,0.996,13
927,12,0.996,13
928,12,0.996,13
929,12,0.996,13
930,12,0.996,13
931,12,0.996,13
932,12,0.996,13
933,12,0.996,13
934,12,0.996,13
935,12,0.996,13
936,12,0.996,13
937,12,0.996,13
938,12,0.996,13
939,12,0.996,13
940,12,0.996,13
941,12,0.996,13
942,12,0.996,13
943,12,0.996,13
944,12,0.996,13
945,12,0.996,13
946,12,0.996,13
947,12,0.996,13
948,12,0.996,13
949,12,0.996,13
950,12,0.996,13
951,12,0.996,13
952,12,0.996,13
953,12,0.996,13
954,12,0.996,13
955,12,0.996,13
956,12,0.996,13
957,12,0.996,13
958,12,0.996,13
959,12,0.996,13
960,12,0.996,13
961,12,0.996,13
962,12,0.996,13
963,12,0.996,13
964,12,0.996,13
965,12,0.996,13
966,12,0.996,13
967,12,0.996,13
968,12,0.996,13
969,12,0.996,13
970,12,0.996,13
971,12,0.996,13
972,12,0.996,13
973,12,0.996,13
974,12,0.996,13
975,12,0.996,13
976,12,0.996,13
977,12,0.996,13
978,12,0.996,13
979,12,0.996,13
980,12,0.996,13
