Duration: 300
step,size,rho,fit
692,14,0.959,15.8
693,14,0.959,15.8
694,14,0.959,15.8
695,14,0.959,15.8
696,14,0.959,15.8
697,14,0.959,15.8
698,14,0.959,15.8
699,14,0.959,15.8
700,14,0.959,15.8
701,14,0.959,15.8
702,14,0.959,15.8
703,14,0.959,15.8
704,14,0.959,15.8
705,14,0.959,15.8
706,14,0.959,15.8
707,14,0.959,15.8
708,14,0.959,15.8
709,14,0.959,15.8
710,14,0.959,15.8
711,14,0.959,15.8
712,14,0.959,15.8
713,14,0.959,15.8
714,14,0.959,15.8
715,14,0.959,15.8
716,14,0.959,15.8
717,14,0.959,15.8
718,14,0.959,15.8
719,14,0.959,15.8
720,14,0.959,15.8
721,14,0.959,15.8
722,14,0.959,15.8
723,14,0.959,15.8
724,14,0.959,15.8
725,14,0.959,15.8
726,14,0.959,15.8
727,14,0.959,15.8
728,14,0.959,15.8
729,14,0.959,15.8
730,14,0.959,15.8
731,14,0.959,15.8
732,14,0.959,15.8
733,14,0.959,15.8
734,14,0.959,15.8
735,14,0.959,15.8
736,14,0.959,15.8
737,14,0.959,15.8
738,14,0.959,15.8
739,14,0.959,15.8
740,14,0.959,15.8
741,14,0.959,15.8
742,14,0.959,15.8
743,14,0.959,15.8
744,14,0.959,15.8
745,14,0.959,15.8
746,14,0.959,15.8
747,14,0.959,15.8
748,14,0.959,15.8
749,14,0.959,15.8
750,14,0.959,15.8
751,14,0.959,15.8
752,14,0.959,15.8
753,14,0.959,15.8
754,14,0.959,15.8
755,14,0.959,15.8
756,14,0.959,15.8
757,14,0.959,15.8
758,14,0.959,15.8
759,14,0.959,15.8
760,14,0.959,15.8
761,14,0.959,15.8
762,14,0.959,15.8
763,14,0.959,15.8
764,14,0.959,15.8
765,14,0.959,15.8
766,14,0.959,15.8
767,14,0.959,15.8
768,14,0.959,15.8
769,14,0.959,15.8
770,14,0.959,15.8
771,14,0.959,15.8
772,14,0.959,15.8
773,14,0.959,15.8
774,14,0.959,15.8
775,14,0.959,15.8
776,14,0.959,15.8
777,14,0.959,15.8
778,14,0.959,15.8
779,14,0.959,15.8
780,14,0.959,15.8
781,14,0.959,15.8
782,14,0.959,15.8
783,14,0.959,15.8
784,14,0.959,15.8
785,14,0.959,15.8
786,14,0.959,15.8
787,14,0.959,15.8
788,14,0.959,15.8
789,14,0.959,15.8
790,14,0.959,15.8
791,14,0.959,15.8
792,14,0.959,15.8
793,14,0.959,15.8
794,14,0.959,15.8
795,14,0.959,15.8
796,14,0.959,15.8
797,14,0.959,15.8
798,14,0.959,15.8
799,14,0.959,15.8
800,14,0.959,15.8
801,14,0.959,15.8
802,14,0.959,15.8
803,14,0.959,15.8
804,14,0.959,15.8
805,14,0.959,15.8
806,14,0.959,15.8
807,14,0.959,15.8
808,14,0.959,15.8
809,14,0.959,15.8
810,14,0.959,15.8
811,14,0.959,15.8
812,14,0.959,15.8
813,14,0.959,15.8
814,14,0.959,15.8
815,14,0.959,15.8
816,14,0.959,15.8
817,14,0.959,15.8
818,14,0.959,15.8
819,14,0.959,15.8
820,14,0.959,15.8
821,14,0.959,15.8
822,14,0.959,15.8
823,14,0.959,15.8
824,14,0.959,15.8
825,14,0.959,15.8
826,14,0.959,15.8
827,14,0.959,15.8
828,14,0.959,15.8
829,14,0.959,15.8
830,14,0.959,15.8
831,14,0.959,15.8
832,14,0.959,15.8
833,14,0.959,15.8
834,14,0.959,15.8
835,14,0.959,15.8
836,14,0.959,15.8
837,14,0.959,15.8
838,14,0.959,15.8
839,14,0.959,15.8
840,14,0.959,15.8
841,14,0.959,15.8
842,14,0.959,15.8
843,14,0.959,15.8
844,14,0.959,15.8
845,14,0.959,15.8
846,14,0.959,15.8
847,14,0.959,15.8
848,14,0.959,15.8
849,14,0.959,15.8
850,14,0.959,15.8
851,14,0.959,15.8
852,14,0.959,15.8
853,14,0.959,15.8
854,14,0.959,15.8
855,14,0.959,15.8
856,14,0.959,15.8
857,14,0.959,15.8
858,14,0.959,15.8
859,14,0.959,15.8
860,14,0.959,15.8
861,14,0.959,15.8
862,14,0.959,15.8
863,14,0.959,15.8
864,14,0.959,15.8
865,14,0.959,15.8
866,14,0.959,15.8
867,14,0.959,15.8
868,14,0.959,15.8
869,14,0.959,15.8
870,14,0.959,15.8
871,14,0.959,15.8
872,14,0.959,15.8
873,14,0.959,15.8
874,14,0.959,15.8
875,14,0.959,15.8
876,14,0.959,15.8
877,14,0.959,15.8
878,14,0.959,15.8
879,14,0.959,15.8
880,14,0.959,15.8
881,14,0.959,15.8
882,14,0.959,15.8
883,14,0.959,15.8
884,14,0.959,15.8
885,14,0.959,15.8
886,14,0.959,15.8
887,14,0.959,15.8
888,14,0.959,15.8
889,14,0.959,15.8
890,14,0.959,15.8
891,14,0.959,15.8
892,14,0.959,15.8
893,14,0.959,15.8
894,14,0.959,15.8
895,14,0.959,15.8
896,14,0.959,15.8
897,14,0.959,15.8
898,14,0.959,15.8
899,14,0.959,15.8
900,14,0.959,15.8
901,14,0.959,15.8
